"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","11,900.0","11,850.0","11,900.0","11,800.0","12.86M","0.42%"
"10/10/2024","11,850.0","12,150.0","12,200.0","11,750.0","27.57M","-1.66%"
"10/09/2024","12,050.0","12,050.0","12,200.0","11,900.0","18.93M","0.42%"
"10/08/2024","12,000.0","11,850.0","12,150.0","11,700.0","27.95M","1.27%"
"10/07/2024","11,850.0","11,850.0","11,950.0","11,700.0","11.84M","0.42%"
"10/04/2024","11,800.0","11,850.0","11,950.0","11,750.0","14.10M","-0.42%"
"10/03/2024","11,850.0","12,300.0","12,350.0","11,700.0","36.11M","-2.87%"
"10/02/2024","12,200.0","12,300.0","12,400.0","12,150.0","21.61M","-1.21%"
"10/01/2024","12,350.0","12,100.0","12,650.0","12,000.0","50.10M","2.92%"
"09/30/2024","12,000.0","11,950.0","12,200.0","11,800.0","23.71M","0.84%"
"09/27/2024","11,900.0","12,000.0","12,150.0","11,850.0","23.21M","-0.42%"
"09/26/2024","11,950.0","12,050.0","12,100.0","11,900.0","19.67M","-0.42%"
"09/25/2024","12,000.0","11,450.0","12,000.0","11,450.0","39.87M","5.26%"
"09/24/2024","11,400.0","11,400.0","11,450.0","11,300.0","7.78M","0.44%"
"09/23/2024","11,350.0","11,400.0","11,450.0","11,300.0","9.29M","0.89%"
"09/20/2024","11,250.0","11,500.0","11,600.0","11,250.0","34.79M","-1.32%"
"09/19/2024","11,400.0","11,450.0","11,500.0","11,300.0","8.37M","0.44%"
"09/18/2024","11,350.0","11,350.0","11,600.0","11,300.0","15.52M","0.44%"
"09/17/2024","11,300.0","11,050.0","11,300.0","11,050.0","10.04M","2.26%"
"09/16/2024","11,050.0","11,400.0","11,400.0","11,050.0","12.15M","-2.21%"
"09/13/2024","11,300.0","11,400.0","11,500.0","11,250.0","11.84M","0.44%"
"09/12/2024","11,250.0","11,500.0","11,550.0","11,250.0","8.02M","-0.44%"
"09/11/2024","11,300.0","11,350.0","11,500.0","11,150.0","14.81M","-0.44%"
"09/10/2024","11,350.0","11,800.0","11,800.0","11,250.0","21.33M","-2.58%"
"09/09/2024","11,650.0","11,800.0","11,800.0","11,550.0","14.06M","-1.27%"
"09/06/2024","11,800.0","11,900.0","11,950.0","11,650.0","17.92M","-0.84%"
"09/05/2024","11,900.0","12,150.0","12,200.0","11,800.0","20.04M","-0.83%"
"09/04/2024","12,000.0","11,900.0","12,100.0","11,850.0","20.35M","-1.23%"
"08/30/2024","12,150.0","12,200.0","12,200.0","11,900.0","40.94M","0.00%"
"08/29/2024","12,150.0","12,100.0","12,350.0","11,900.0","54.52M","0.83%"
"08/28/2024","12,050.0","11,950.0","12,050.0","11,650.0","36.32M","1.26%"
"08/27/2024","11,900.0","12,100.0","12,150.0","11,800.0","26.44M","-2.06%"
