Date,Close,Open,High,Low,Volume,Change
2023-11-29,13157.7,13117.7,13237.7,12957.7,30070000.0,0.0123
2023-11-30,13117.7,13077.7,13517.6,13077.7,48270000.0,-0.003
2023-12-01,13357.7,13277.7,13477.6,13037.7,36780000.0,0.0183
2023-12-04,14237.5,13717.6,14277.5,13677.6,86060000.0,0.0659
2023-12-05,14157.5,14237.5,14357.5,14077.5,40040000.0,-0.005600000000000001
2023-12-06,14437.5,14157.5,14517.5,14077.5,36740000.0,0.019799999999999998
2023-12-07,13957.5,14437.5,14477.5,13597.6,92370000.0,-0.0332
2023-12-08,13757.6,13997.5,14077.5,13597.6,29860000.0,-0.0143
2023-12-11,13677.6,13597.6,13837.6,13277.7,51430000.0,-0.0058
2023-12-12,13677.6,13757.6,13877.6,13637.6,15740000.0,0.0
2023-12-13,13277.7,13837.6,13877.6,13277.7,35280000.0,-0.0292
2023-12-14,13157.7,13477.6,13517.6,13117.7,30100000.0,-0.009000000000000001
2023-12-15,13197.7,13117.7,13517.6,13037.7,30050000.0,0.003
2023-12-18,13117.7,13277.7,13317.7,13077.7,15840000.0,-0.0060999999999999995
2023-12-19,13437.6,13117.7,13437.6,13077.7,20500000.0,0.024399999999999998
2023-12-20,13557.6,13517.6,13717.6,13357.7,21860000.0,0.0089
2023-12-21,13477.6,13357.7,13517.6,13357.7,12530000.0,-0.0059
2023-12-22,13357.7,13517.6,13717.6,13317.7,24530000.0,-0.0089
2023-12-25,13517.6,13397.6,13677.6,13277.7,24310000.0,0.012
2023-12-26,13677.6,13637.6,13757.6,13557.6,19210000.0,0.0118
2023-12-27,13677.6,13757.6,13957.5,13677.6,24900000.0,0.0
2023-12-28,13677.6,13637.6,13837.6,13597.6,21370000.0,0.0
2023-12-29,13677.6,13757.6,13797.6,13637.6,16370000.000000002,0.0
2024-01-02,13117.7,13837.6,13877.6,12917.7,64690000.0,-0.0409
2024-01-03,13317.7,13077.7,13317.7,13077.7,17090000.0,0.0152
2024-01-04,13397.6,13357.7,13797.6,13357.7,39570000.0,0.006
2024-01-05,13397.6,13517.6,13517.6,13277.7,15990000.0,0.0
2024-01-08,13517.6,13517.6,13717.6,13397.6,25260000.0,0.009000000000000001
2024-01-09,13557.6,13637.6,13837.6,13517.6,32130000.000000004,0.003
2024-01-10,13357.7,13557.6,13597.6,13277.7,23390000.0,-0.0147
2024-01-11,13757.6,13517.6,13837.6,13437.6,53150000.0,0.029900000000000003
2024-01-12,13557.6,13637.6,13877.6,13477.6,45800000.0,-0.014499999999999999
2024-01-15,13357.7,13677.6,13757.6,13357.7,26610000.0,-0.0147
2024-01-16,13637.6,13317.7,13637.6,13277.7,21560000.0,0.021
2024-01-17,13957.5,13717.6,14357.5,13637.6,66040000.00000001,0.0235
2024-01-18,13957.5,13997.5,14157.5,13877.6,24090000.0,0.0
2024-01-19,13877.6,14237.5,14317.5,13837.6,33540000.0,-0.005699999999999999
2024-01-22,13877.6,13997.5,14077.5,13637.6,28770000.0,0.0
2024-01-23,13877.6,13917.6,13997.5,13837.6,20830000.0,0.0
